id;id_ex;siret;rup_mi;gestion;date_creat;date_decla;date_publi;date_disso;nature;groupement;titre;titre_court;objet;objet_social1;objet_social2;adrs_complement;adrs_numvoie;adrs_repetition;adrs_typevoie;adrs_libvoie;adrs_distrib;adrs_codeinsee;adrs_codepostal;adrs_libcommune;adrg_declarant;adrg_complemid;adrg_complemgeo;adrg_libvoie;adrg_distrib;adrg_codepostal;adrg_achemine;adrg_pays;dir_civilite;siteweb;publiweb;observation;position;maj_time
"W579000016";"67009";"";"";"543P";"1981-07-20";"2019-05-06";"0001-01-01";"0001-01-01";"D";"S";"UGSEL GRAND EST";"UGSEL GRAND EST";"renforcer la liaison et l'information réciproque entre l'union nationale et les unions départementales ; collaborer avec les organismes intéressés à la formation des enseignants d'E.P.S. et à leur recrutement ; d'organiser les compétitions sportives de son ressort, d'en assurer le bon déroulement, de résoudre les litiges en découlant, d'effectuer les qualifications aux championnats de France lorsque les règlements le permettent et dans les limites fixées par l'union nationale ; assurer la repré";"011000";"000000";"Maison des Sports";"13";"";"RUE";"Jean Moulin";"_";"54526";"54510";"Tomblaine";"";"";"";"13 rue jean Moulin";"";"54510";"TOMBLAINE";"FRANCE";"PM";"";"1";"";"A";"2019-05-06 12:44:11"
"W579000017";"14042016";"";"";"543P";"2006-08-11";"2016-10-06";"2006-08-19";"0001-01-01";"D";"S";"COMPAGNIE JAVA VERITE";"COMPAGNIE JAVA VERITE";"créer des spectacles ; diffuser les spectacles dans un grand nombre de lieux ; donner des ateliers pédagogiques ; enregistrer sur tout support la pièce ou le travail théâtral ; éditer des textes ; organiser des lectures ou tout action qui promeut le théâtre, autant dans sa dimension artistique que pédagogique";"006070";"000000";"";"87";"";"RUE";"de la Colline";"_";"54395";"54000";"Nancy";"";"";"";"15  RUE VAUTRIN";"";"88000";"EPINAL";"FRANCE";"PF";"";"1";"";"A";"2017-01-28 12:45:45"
"W579000018";"00412";"";"";"543P";"1979-01-01";"2016-03-10";"0001-01-01";"2015-12-11";"D";"S";"CAISSE DE CONGES PAYES DU BATIMENT DE LA MOSELLE";"CAISSE DE CONGES PAYES DU BATIMENT ...";"effectuer le paiement aux salariés des indemnités de congés payés ; assurer la mise en oeuvre des dispositions législatives et réglementaires du régime d'indemnisation du chômage pour cause d'intempéries dont la gestion incombe à l'union des caisses de france du réseau congés intempéries BTP ; percevoir aupèrs de ses adhérents les cotisations nécessaires à l'accomplissement des missions";"023007";"000000";"";"9";"";"RUE";"de Vercly";"_";"57463";"57000";"Metz";"";"";"";"9  rue de Vercly";"";"57000";"Metz";"FRANCE";"PM";"";"1";"PAS DE TRACE DE LA CREATION DANS LE DOSSIER";"D";"2016-06-15 16:13:02"
"W579000019";"005231";"";"";"543P";"1978-01-01";"2016-11-30";"1901-07-01";"2016-09-07";"D";"S";"CENTRE MOSELLAN DE GESTION - CEMOGEST";"CENTRE MOSELLAN DE GESTION - CEMOGEST";"gestion";"050000";"000000";"";"11";"";"PL";"Saint Martin";"57000_";"57463";"57000";"Metz";"";"";"";"11  place Saint Martin";"57000";"57000";"Metz";"FRANCE";"PM";"";"1";"";"D";"2016-12-13 15:54:17"
"W579000020";"001626";"";"";"543P";"2013-10-17";"2016-12-09";"1901-07-01";"0001-01-01";"D";"S";"ASSOCIATION DES CHEMINOTS RETRAITES C.F.T.C. LORRAINE";"ASSOCIATION DES CHEMINOTS RETRAITES...";"étude et défense des droits et intérêts des cheminots retraités CFTC Lorraine";"023000";"000000";"";"18";"";"AV";"Foch";"_";"54395";"54000";"Nancy";"";"";"";"18 AVENUE FOCH";"";"54000";"NANCY";"FRANCE";"PM";"";"1";"";"A";"2016-12-13 14:59:19"
"W579000021";"003424";"";"";"543P";"2017-01-11";"2024-12-16";"0001-01-01";"0001-01-01";"D";"S";"LIGUE DU GRAND EST DE FOOTBALL (LGEF)";"LGEF";"assurer la gestion du football dans la région du Grand Est";"011075";"000000";"";"1";"";"RUE";"de la Grande Douve";"BP 19_";"54115";"54250";"Champigneulles";"";"GÉRANTE DE LA STÉ APF";"";"58 RUE DE MONCEAU";"";"75008";"PARIS";"FRANCE";"PM";"";"1";"";"A";"2025-06-17 18:00:02"
"W579000022";"155FOLIO25";"";"";"541S";"2011-01-22";"2011-01-22";"0001-01-01";"0001-01-01";"D";"S";"LE DRAGON D'ENOSHIMA";"LE DRAGON D'ENOSHIMA";"développement du jeu de Mah-jong au niveau local, par les moyens suivants : crétion d'un club, organisation de manifestations diverses de promotion, ainsi que tout autre moyen d'atteindre l'objectif de l'association";"007005";"000000";"";"58";"";"RUE";"de la chapelle";"_";"57463";"57000";"Metz";"";"";"";"1b rue du trnsvaal";"";"57500";"SAINT AVOLD";"FRANCE";"PM";"";"1";"";"S";"2017-11-16 09:29:14"
"W579000023";"38FOLIO 33";"";"";"541S";"1972-01-28";"2016-02-23";"0001-01-01";"0001-01-01";"D";"S";"BALL TRAP CLUB DE METZ VERNY ET ENVIRONS  B.T.C METZ VERNY";"BALL TRAP CLUB DE METZ VERNY ET ENV...";"pratique du tir sportif; de loisir et de compétition dans les disciplines régies par les Fédérations Sportives Nationales et toute pratiques d'éducation physique et des sports";"011175";"000000";"";"38";"";"AV";"du Général de Gaulle";"_";"54542";"54910";"Valleroy";"";"";"";"38 AVENUE DU GéNéRAL DE GAULLE";"";"54910";"VALLEROY";"FRANCE";"PM";"";"1";"";"A";"2020-01-02 20:00:04"
"W579000124";"010124";"";"";"543P";"1987-06-17";"2017-10-09";"0001-01-01";"0001-01-01";"D";"S";"COMITÉ RÉGIONAL SPORTIF DES FOYERS RURAUX DU GRAND EST (CRSFRGE)";"CRSFRGE";"pratique et promotion en milieu rural du sport pour tous et des activités physiques, sportives et de pleine nature, au sein des foyers ruraux et association d'animation et de développement du milieu rural dans le cadre de la politique d'animation de la fédération sportive des foyers rurux (FSFR) et de la confédération nationale des foyers ruraux (CNFR) ; cette pratique s'étand aux activités de tourisme et de développement durable des territoires";"009035";"000000";"";"3";"";"RUE";"du beaujolais";"_";"54547";"54500";"Vandoeuvre-lès-Nancy";"";"";"";"14 rue Emile Hinzelin";"";"54122";"FLIN";"FRANCE";"PF";"";"1";"";"A";"2017-11-25 12:45:45"
"W579000125";"002615";"";"";"543P";"1964-10-05";"2018-01-26";"0001-01-01";"0001-01-01";"D";"S";"COMITE REGIONAL GRAND EST DE LA FEDERATION SPORTIVE DE LA POLICE NATIONALE";"COMITE REGIONAL GRAND EST DE LA FEDERA";"développer la pratique des activités physiques et sportives au sein des associations sportives de la direction générale de la police nationale affilées et implantés dans les départements des Ardennes, de l'Aube, de la Marne, de la Haute-Marne, de la Meurthe-et-Moselle, de la Meuse, de la Moselle, du Bas-Rhin, du Haut-Rhin et des Vosges, en vue de préserver et d'améliorer la santé et la condition physique de ses membres ; encourager toutes initiatives propres à garantir la formation physique et";"011005";"000000";"Hôtel de Police";"38";"";"BD";"Lobau";"_";"54395";"54000";"Nancy";"";"";"CRS 39";"11 RUE DU GéNéRAL LECLERC";"BP 87";"54140";"JARVILLE LA MALGRANGE";"FRANCE";"PF";"";"1";"";"A";"2018-02-03 12:45:44"
